"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Belgium","BEL","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","0","0","0.0227985180963237","0.249840527322985","0.248163106418179","0","0.0264924055104203","0.396775146680174","0.230536659108088","0.0754328818789645","0.186744422238967","0","0.029681597409606","0.187122984119168","0.349766034882072","16.6201185751384","21.2974555949324","25.4731272269517","24.7493027947546","21.9766881803294","23.636774594564","25.6917943697429","31.3417903877706","46.4747729857911","51.6725647234122","61.5030484011447","68.3674354835911","67.3335793476343","66.7823554019925","61.6310540245525","60.7778979115689","60.2098727277836","60.8542220977454","59.8375863446937","56.9434126238769","56.2544208063551","57.6752109451942","60.8879927049486","56.2473347547974","58.7973514382362","58.179599627898","58.9546923096492","58.5132012997443","56.6998958844437","56.0881059357699","55.5309244070051","55.3006591738986","55.0989397678457","54.5182632832035","52.5822328129524","51.0950305329681","54.186981823084","49.3684223422894","51.9010758969865","47.1357444547006","37.5323517570599","","","","","","","",
"Benin","BEN","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Burkina Faso","BFA","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Bulgaria","BGR","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","0","0","0","4.06910462159081","10.1200618140032","17.9803221969943","19.8047795355099","18.7666709005462","19.0929312901631","17.6977178125449","24.6646110570161","26.5602214587607","28.8829487900957","28.5077901146132","31.5406418139892","28.8617886178862","28.6062613576243","35.6056062726283","32.8595921313842","34.7998386369569","32.2646958053938","32.4403257511935","36.7739558386188","40.2145123646186","41.3051281437699","42.3307425788932","41.648483142113","40.7371694429043","41.5949919776954","44.7227279437091","44.9143198419626","47.9546586354905","40.8240408240408","40.5904504417516","42.4201764759392","42.8398751703222","34.1034538975709","35.3602189126144","35.9972629244237","33.1377534389465","32.6129980209104","33.888662272698","32.9030160904595","33.8120911202506","","","","","","","","",
"Bahrain","BHR","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Bahamas, The","BHS","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Belarus","BLR","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Belize","BLZ","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
